iso3,survey_id,survey_region_id,survey_region_name,survey_region_area_id
MWI,MWI1992DHS,1,northern region,MWI.1
MWI,MWI1992DHS,2,central region,MWI.2
MWI,MWI1992DHS,3,southern region,MWI.3
MWI,MWI2000DHS,1,north,MWI.1
MWI,MWI2000DHS,2,central,MWI.2
MWI,MWI2000DHS,3,south,MWI.3
MWI,MWI2004DHS,1,northern,MWI.1
MWI,MWI2004DHS,2,central,MWI.2
MWI,MWI2004DHS,3,southern,MWI.3
MWI,MWI2010DHS,101,chitipa,MWI.1.1.1
MWI,MWI2010DHS,102,karonga,MWI.1.1.2
MWI,MWI2010DHS,104,rumphi,MWI.1.1.3
MWI,MWI2010DHS,105,mzimba,MWI.1.1.4
MWI,MWI2010DHS,103,nkhatabay,MWI.1
MWI,MWI2010DHS,204,dowa,MWI.2.2.10
MWI,MWI2010DHS,205,salima,MWI.2.2.11
MWI,MWI2010DHS,202,nkhota kota,MWI.2.2.7
MWI,MWI2010DHS,201,kasungu,MWI.2.2.8
MWI,MWI2010DHS,203,ntchisi,MWI.2.2.9
MWI,MWI2010DHS,207,mchinji,MWI.2.3.12
MWI,MWI2010DHS,206,lilongwe,MWI.2.3.13
MWI,MWI2010DHS,208,dedza,MWI.2.3.14
MWI,MWI2010DHS,209,ntcheu,MWI.2.3.15
MWI,MWI2010DHS,301,mangochi,MWI.3.4.16
MWI,MWI2010DHS,302,machinga,MWI.3.4.17
MWI,MWI2010DHS,312,balaka,MWI.3.4.18
MWI,MWI2010DHS,303,zomba,MWI.3.4.19
MWI,MWI2010DHS,309,phalombe,MWI.3.4.20
MWI,MWI2010DHS,308,mulanje,MWI.3.4.21
MWI,MWI2010DHS,313,neno,MWI.3.5.22
MWI,MWI2010DHS,305,blantyre,MWI.3.5.23
MWI,MWI2010DHS,306,mwanza,MWI.3.5.24
MWI,MWI2010DHS,304,chiradzulu,MWI.3.5.25
MWI,MWI2010DHS,307,thyolo,MWI.3.5.26
MWI,MWI2010DHS,310,chikwawa,MWI.3.5.27
MWI,MWI2010DHS,311,nsanje,MWI.3.5.28
MWI,MWI2012MIS,1,northern,MWI.1
MWI,MWI2012MIS,2,central,MWI.2
MWI,MWI2012MIS,3,southern,MWI.3
MWI,MWI2014MIS,1,northern,MWI.1
MWI,MWI2014MIS,2,central,MWI.2
MWI,MWI2014MIS,3,southern,MWI.3
MWI,MWI2015DHS,101,Chitipa,MWI.1.1.1
MWI,MWI2015DHS,102,Karonga,MWI.1.1.2
MWI,MWI2015DHS,104,Rumphi,MWI.1.1.3
MWI,MWI2015DHS,107,Mzuzu City,MWI.1.1.4.4
MWI,MWI2015DHS,105,Mzimba,MWI.1.1.4.6
MWI,MWI2015DHS,103,Nkhatabay,MWI.1.1.5
MWI,MWI2015DHS,106,Likoma,MWI.1.1.6
MWI,MWI2015DHS,204,Dowa,MWI.2.2.10
MWI,MWI2015DHS,205,Salima,MWI.2.2.11
MWI,MWI2015DHS,202,Nkhota kota,MWI.2.2.7
MWI,MWI2015DHS,201,Kasungu,MWI.2.2.8
MWI,MWI2015DHS,203,Ntchisi,MWI.2.2.9
MWI,MWI2015DHS,207,Mchinji,MWI.2.3.12
MWI,MWI2015DHS,210,Lilongwe City,MWI.2.3.13.14
MWI,MWI2015DHS,206,Lilongwe,MWI.2.3.13.15
MWI,MWI2015DHS,208,Dedza,MWI.2.3.14
MWI,MWI2015DHS,209,Ntcheu,MWI.2.3.15
MWI,MWI2015DHS,301,Mangochi,MWI.3.4.16
MWI,MWI2015DHS,302,Machinga,MWI.3.4.17
MWI,MWI2015DHS,312,Balaka,MWI.3.4.18
MWI,MWI2015DHS,314,Zomba City,MWI.3.4.19.21
MWI,MWI2015DHS,303,Zomba,MWI.3.4.19.22
MWI,MWI2015DHS,309,Phalombe,MWI.3.4.20
MWI,MWI2015DHS,308,Mulange,MWI.3.4.21
MWI,MWI2015DHS,313,Neno,MWI.3.5.22
MWI,MWI2015DHS,305,Blantyre,MWI.3.5.23.26
MWI,MWI2015DHS,315,Blantyre City,MWI.3.5.23.29
MWI,MWI2015DHS,306,Mwanza,MWI.3.5.24
MWI,MWI2015DHS,304,Chiradzulu,MWI.3.5.25
MWI,MWI2015DHS,307,Thyolo,MWI.3.5.26
MWI,MWI2015DHS,310,Chikwawa,MWI.3.5.27
MWI,MWI2015DHS,311,Nsanje,MWI.3.5.28
MWI,MWI2017MIS,1,North,MWI.1
MWI,MWI2017MIS,2,Central,MWI.2
MWI,MWI2017MIS,3,South,MWI.3
NA,MWI2016PHIA,1,Northern,MWI.1
NA,MWI2016PHIA,2,Central-East,MWI.2.2
NA,MWI2016PHIA,3,Central-West,MWI.2.3
NA,MWI2016PHIA,4,Lilongwe City,MWI.2.3.13.14
NA,MWI2016PHIA,5,South-East,MWI.3.4
NA,MWI2016PHIA,6,South-West,MWI.3
NA,MWI2016PHIA,7,Blantyre City,MWI.3.5.23.29
