area_id,area_name,source,calendar_quarter,sex,age_group,population,asfr
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y000_004,48882.663491406754,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y005_009,41921.579258945654,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y010_014,36890.621638962526,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y015_019,31683.797238883613,0.11585311346433604
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y020_024,25640.839579030588,0.2721338922174168
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y025_029,20193.900456068888,0.24019759090664722
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y030_034,18074.32615687279,0.21786574516254725
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y035_039,14341.98265349782,0.1738212475190253
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y040_044,10607.150839628444,0.09600032302444358
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y045_049,8457.992032998558,0.03738868592652128
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y050_054,6751.932660752108,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y055_059,5190.932818174325,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y060_064,4337.051376987225,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y065_069,3914.957989296265,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y070_074,3269.904785320683,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y075_079,2343.86860568807,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,female,Y080_999,2772.0087909691406,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y000_004,48489.808439953726,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y005_009,40727.2782473791,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y010_014,34912.89452595803,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y015_019,30807.125450823787,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y020_024,25384.998309447237,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y025_029,20068.04269265325,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y030_034,16560.343511634568,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y035_039,13853.910171908035,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y040_044,10594.218293014892,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y045_049,8755.85543705091,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y050_054,6347.861949864992,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y055_059,4982.041994347009,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y060_064,3752.997502323773,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y065_069,3286.0910882866665,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y070_074,2349.7786374383727,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y075_079,1817.9052745096176,
MWI_3_10_demo,Dowa,Census 2018,CY2008Q2,male,Y080_999,1982.9599121241583,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y000_004,50739.017048290734,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y005_009,42183.26672558814,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y010_014,38533.23554142594,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y015_019,33086.00686685155,0.1084942687269651
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y020_024,27024.807816479435,0.2615228507995033
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y025_029,20831.397381527306,0.23123716503335828
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y030_034,18490.45104300868,0.21173719774242103
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y035_039,15172.70561584009,0.16841514407289065
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y040_044,11134.132601831265,0.09062481193953106
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y045_049,8680.250232533805,0.03520043984550478
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y050_054,6984.974765982791,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y055_059,5399.9825503016955,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y060_064,4382.369049977459,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y065_069,4009.2373750552974,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y070_074,3322.820105347902,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y075_079,2490.582601445075,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,female,Y080_999,2792.9276650010493,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,male,Y000_004,50548.35178609915,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,male,Y005_009,41020.06870383108,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,male,Y010_014,36488.42394191371,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,male,Y015_019,31979.1214302489,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,male,Y020_024,26566.96133642594,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,male,Y025_029,20869.64329559097,
MWI_3_10_demo,Dowa,Census 2018,CY2009Q2,male,Y030_034,17013.156539518044,
