indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y015_049,512,5136,3125.6878479782795,0.11830933857108766,0.00690967870637938,0.10542327337073366,0.13253713057224067
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y015_024,477,2116,1302.2685977380395,0.06019422194803892,0.00600486071843775,0.04944701248524351,0.07309768601889029
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y025_034,476,1728,1037.1056526230766,0.15525311727279031,0.01224795822402523,0.13273156609515396,0.18079942049399356
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y035_049,432,1292,789.117001648447,0.1602413960760684,0.01321855393567364,0.13599445881863373,0.18787138718314364
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y025_049,500,3020,1826.030043018302,0.15738319095234293,0.00999877180807698,0.13876260769981574,0.17798608479877684
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y015_019,392,1000,655.6497881624244,0.02103570892508185,0.00486017139923756,0.01334943547161138,0.03299953023935002
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y020_024,419,1116,652.652166029547,0.09451938786293436,0.01017881859048522,0.076367110600557,0.11644245637423416
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y025_029,402,985,584.0672241749915,0.12585212058503795,0.01295493960958588,0.10257427627980446,0.1535089442415484
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y030_034,372,743,453.1214747401866,0.1924737465354228,0.01868163030966055,0.15847834404148156,0.23175323750739776
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y035_039,309,500,301.0516306704755,0.17716311221521713,0.0219019779388529,0.1382192860941852,0.22422458684544025
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y040_044,288,473,301.2070676397057,0.17162110560356209,0.02094760934556112,0.13435702464659863,0.21663394958097976
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y045_049,226,319,188.0548601188751,0.1156556508939726,0.01944205785955562,0.08265606392612525,0.15953871542634537
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y015_049,499,2272,1358.978247731314,0.10210479068219692,0.00891463989247371,0.08590951683555653,0.12094915449925508
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y015_024,376,880,552.1709339820666,0.02088936862939926,0.00547244021384723,0.01247080703198824,0.03479076261142953
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y025_034,384,813,481.9880828291109,0.14441590207817448,0.01641567352046643,0.11511970173389204,0.17965388806966676
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y035_049,338,579,332.14779207740986,0.15682360497761733,0.01859872360196056,0.12371269951962433,0.19680612423131813
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y025_049,469,1392,813.8076190066673,0.14960041377606023,0.01321025263518208,0.12550985230425027,0.17737705176451712
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y015_019,267,455,304.4040754575067,0.00406517883253186,0.00295826277825398,9.738031296448592e-4,0.0168051648180899
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y020_024,276,425,250.47498574582764,0.03866470134763895,0.0107139102699265,0.02234964472854695,0.06608456465378558
