indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y015_049,512,5136,3125.687847978268,0.11830933857108744,0.006909678706379366,0.10542327337073344,0.1325371305722404
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y015_024,477,2116,1302.268597738034,0.06019422194803898,0.006004860718437764,0.04944701248524357,0.07309768601889038
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y025_034,476,1728,1037.1056526230748,0.15525311727279034,0.012247958224025244,0.132731566095154,0.18079942049399358
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y035_049,432,1292,789.1170016484458,0.16024139607606844,0.013218553935673654,0.13599445881863373,0.18787138718314364
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y015_019,392,1000,655.6497881624256,0.021035708925081848,0.0048601713992375605,0.01334943547161138,0.03299953023935002
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y020_024,419,1116,652.6521660295476,0.09451938786293426,0.01017881859048521,0.07636711060055694,0.11644245637423406
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y025_029,402,985,584.0672241749921,0.12585212058503786,0.012954939609585886,0.10257427627980435,0.15350894424154826
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y030_034,372,743,453.1214747401874,0.19247374653542268,0.018681630309660545,0.15847834404148145,0.23175323750739768
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y035_039,309,500,301.05163067047556,0.17716311221521716,0.02190197793885291,0.1382192860941852,0.22422458684544025
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y040_044,288,473,301.207067639706,0.17162110560356203,0.020947609345561127,0.13435702464659857,0.2166339495809797
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,both,Y045_049,226,319,188.05486011887493,0.11565565089397262,0.019442057859555623,0.08265606392612526,0.15953871542634535
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y015_049,499,2272,1358.9782477313086,0.10210479068219708,0.00891463989247373,0.08590951683555663,0.12094915449925524
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y015_024,376,880,552.1709339820696,0.020889368629399205,0.005472440213847223,0.012470807031988215,0.03479076261142944
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y025_034,384,813,481.9880828291122,0.14441590207817423,0.016415673520466415,0.11511970173389188,0.17965388806966645
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y035_049,338,579,332.1477920774085,0.15682360497761758,0.018598723601960597,0.1237126995196245,0.19680612423131846
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y015_019,267,455,304.4040754575072,0.004065178832531867,0.002958262778253984,9.738031296448593e-4,0.016805164818089902
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y020_024,276,425,250.4749857458279,0.038664701347638934,0.010713910269926501,0.022349644728546947,0.06608456465378555
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y025_029,294,458,260.7786843984392,0.09810522746236763,0.016354228197493707,0.07038925456217372,0.13514786509711457
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y030_034,243,355,222.12069032348782,0.20376456823436723,0.028603218642257757,0.15336288137873297,0.2655353213509159
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y035_039,183,223,122.3876936538701,0.1841635844992594,0.03278228064465837,0.12830475830648647,0.2571666517636867
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y040_044,181,228,143.71834066578438,0.16453974878309774,0.030366126320472933,0.11326824062971068,0.23292331679859044
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y045_049,108,128,70.236578439748,0.09480675261529527,0.0270650534967175,0.053432002099717095,0.162712497134382
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,male,Y050_054,112,132,92.34133636325832,0.10548248030156034,0.031630140973519745,0.05760789567770724,0.18531908052614293
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y015_049,502,2864,1795.8449215472633,0.13318194078510692,0.007947639938681122,0.11836090372150836,0.14954405909793278
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y015_024,436,1236,751.4076214156877,0.0909830506470672,0.009088577442638891,0.07466989397879091,0.11043480464436424
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y025_034,415,915,567.1475592859352,0.16667290658338632,0.014669710321554497,0.1398661727695862,0.1974380731622638
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y035_049,360,713,480.92950593774066,0.1635802891622438,0.015433032813803113,0.13553230713133058,0.19611589828227904
prevalence,DEMO2004DHS,CY2004Q4,MWI,Malawi - Demo,all,female,Y015_019,310,545,352.25203915803394,0.03689676053205053,0.008832327528479143,0.02299564500328552,0.05869639310974604
